customer_id,gender,senior_citizen,partner,dependents,tenure,tenure_group,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
9732-OUYRN,Female,0,Yes,No,49,Tenure_48-60,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19,918.70001220703125,no
0661-KQHNK,Female,0,Yes,Yes,6,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19,105.5,no
4709-LKHYG,Female,0,Yes,Yes,29,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,20,540.04998779296875,no
9824-QCJPK,Male,0,Yes,No,36,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20,666.75,no
4716-MRVEN,Female,0,No,No,29,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20,599.29998779296875,no
8084-OIVBS,Female,0,No,No,11,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20,211.94999694824219,no
4323-ELYYB,Male,0,Yes,Yes,13,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20,218.55000305175781,no
0967-BMLBD,Female,0,Yes,Yes,11,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,20,196.35000610351562,no
1269-FOYWN,Male,0,Yes,Yes,44,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20,860.8499755859375,no
3556-BVQGL,Female,0,Yes,No,20,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,20,416.45001220703125,no
1401-FTHFQ,Male,0,Yes,Yes,23,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),20,445.29998779296875,no
4955-VCWBI,Female,0,Yes,Yes,43,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20,817.95001220703125,no
6814-ZPWFQ,Male,1,No,No,51,Tenure_48-60,Yes,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),25,1260.699951171875,no
6765-MBQNU,Female,0,Yes,No,26,Tenure_24-48,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,26,684.04998779296875,no
2361-FJWNO,Male,0,No,No,40,Tenure_24-48,No,No,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),36,1382.9000244140625,no
9830-ECLEN,Male,0,Yes,Yes,58,Tenure_48-60,No,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,50,2919.85009765625,no
6229-UOLQL,Male,0,Yes,Yes,56,Tenure_48-60,No,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,52,2884.89990234375,no
8883-GRDWQ,Male,1,No,No,20,Tenure_12-24,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,54,1055.9000244140625,no
6738-ISCBM,Male,0,No,No,44,Tenure_24-48,No,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,54,2440.25,no
2282-YGNOR,Female,0,No,No,29,Tenure_24-48,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),58,1734.5,no
3275-RHRNE,Male,0,Yes,Yes,28,Tenure_24-48,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60,1682.050048828125,no
1183-CANVH,Female,0,Yes,No,23,Tenure_12-24,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),60,1347.1500244140625,no
